philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,18:45-19:00,0,0,0,0,49,,0,0,0,,56,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,20:00-20:15,0,0,0,0,80,,0,0,0,,34,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:1
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,20:15-20:30,0,0,0,0,52,,0,0,0,,36,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,20:30-20:45,0,0,0,0,42,,0,0,0,,47,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,20:45-21:00,0,0,0,0,46,,0,0,0,,27,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,21:00-21:15,0,0,0,0,66,,0,0,0,,32,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:2
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,21:15-21:30,0,0,0,0,37,,0,0,0,,26,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:1
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,21:30-21:45,0,0,0,0,37,,0,0,0,,39,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:1
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,21:45-22:00,0,0,0,0,48,,0,0,0,,31,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,22:00-22:15,0,0,0,0,49,,0,0,0,,44,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:0
